FUNCTION                                                                     CALLS        %        TIME  [uS / CALLS]
--------                                                                     -----  -------        ----  [----------]
logger:log_allowed/4                                                             9     0.00           2  [      0.22]
logger:do_log_allowed/3                                                          9     0.00           2  [      0.22]
logger:add_default_metadata/1                                                    9     0.00           2  [      0.22]
proc_lib:get_my_name/0                                                          11     0.00           2  [      0.18]
proc_lib:get_ancestors/0                                                        11     0.00           2  [      0.18]
'Elixir.GenStage.Buffer':store_temporary/3                                       2     0.00           2  [      1.00]
ets:whereis/1                                                                    9     0.00           2  [      0.22]
erlang:'--'/2                                                                    8     0.00           2  [      0.25]
erlang:'++'/2                                                                   28     0.00           2  [      0.07]
erlang:put/2                                                                    22     0.00           2  [      0.09]
erlang:system_time/1                                                             9     0.00           2  [      0.22]
erlang:make_ref/0                                                               17     0.00           2  [      0.12]
io:io_request/2                                                                  2     0.00           3  [      1.50]
gen:spawn_opts/1                                                                11     0.00           3  [      0.27]
'Elixir.Flow.Window.Global':'-materialize/5-fun-1-'/4                            8     0.00           3  [      0.38]
'Elixir.GenStage':start_link/3                                                   9     0.00           3  [      0.33]
'Elixir.GenStage':'-producer_demand/2-fun-0-'/2                                  8     0.00           3  [      0.38]
'Elixir.Keyword':pop/2                                                          11     0.00           3  [      0.27]
lists:foreach/2                                                                 18     0.00           3  [      0.17]
'Elixir.Flow.Coordinator':'-init/1-fun-0-'/2                                     9     0.00           3  [      0.33]
logger_config:get/3                                                              9     0.00           3  [      0.33]
'Elixir.Flow':'has_any_reduce?'/1                                                1     0.00           3  [      3.00]
'Elixir.Flow.Materialize':'-start_stages/6-fun-2-'/12                            8     0.00           3  [      0.38]
'Elixir.Enum':max_by/2                                                           4     0.00           3  [      0.75]
'Elixir.Enum':max_by/3                                                           4     0.00           3  [      0.75]
'Elixir.Enum':'-max_by/3-fun-0-'/2                                               4     0.00           3  [      0.75]
supervisor:handle_info/2                                                         9     0.00           3  [      0.33]
supervisor:handle_start_child/2                                                  9     0.00           3  [      0.33]
supervisor:restart_child/3                                                       9     0.00           3  [      0.33]
supervisor:save_child/2                                                          9     0.00           3  [      0.33]
supervisor:find_child/2                                                          9     0.00           3  [      0.33]
supervisor:find_child_and_args/2                                                 9     0.00           3  [      0.33]
supervisor:do_check_childspec/1                                                  9     0.00           3  [      0.33]
supervisor:validChildType/1                                                      9     0.00           3  [      0.33]
logger:allow/2                                                                   9     0.00           3  [      0.33]
logger:tid/0                                                                     9     0.00           3  [      0.33]
logger:proc_meta/0                                                               9     0.00           3  [      0.33]
proc_lib:spawn_opt/4                                                            10     0.00           3  [      0.30]
proc_lib:ensure_link/1                                                          10     0.00           3  [      0.30]
proc_lib:make_dummy_args/2                                                      22     0.00           3  [      0.14]
'Elixir.GenStage.Streamer':handle_demand/2                                       8     0.00           3  [      0.38]
'Elixir.Map':get_and_update/3                                                   42     0.00           3  [      0.07]
erlang:raise/3                                                                  22     0.00           3  [      0.14]
erlang:throw/1                                                                   9     0.00           3  [      0.33]
erlang:exit/2                                                                    2     0.00           3  [      1.50]
'Elixir.GenStage.Stream':cancel_stream/5                                         8     0.00           4  [      0.50]
'Elixir.GenStage':consumer_dispatch/6                                            6     0.00           4  [      0.67]
'Elixir.GenStage':maybe_producer_cancel/2                                       16     0.00           4  [      0.25]
